date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:10	71896/71896	---M--	200	added ('OK')	font/woff2	date:Fri,%2014%20Oct%202016%2020:59:54%20GMT	https://validthemes.live/themeforest/essay/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://validthemes.live/themeforest/essay/assets/css/plugins.min.css)
16:47:10	152796/152796	---M--	200	added ('OK')	font/ttf	date:Fri,%2014%20Oct%202016%2020:59:54%20GMT	https://validthemes.live/themeforest/essay/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://validthemes.live/themeforest/essay/assets/css/plugins.min.css)
16:47:10	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20May%202023%2011:17:10%20GMT	https://validthemes.live/themeforest/essay/assets/css/owl.video.play.png	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/css/owl.video.play.png	(from https://validthemes.live/themeforest/essay/assets/css/plugins.min.css)
16:47:11	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20May%202023%2011:17:10%20GMT	https://validthemes.live/themeforest/essay/assets/css/assets/img/preloader.gif	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/css/assets/img/preloader.gif	(from https://validthemes.live/themeforest/essay/assets/css/plugins.min.css)
16:47:11	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20May%202023%2011:17:10%20GMT	https://validthemes.live/themeforest/essay/assets/style.css	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/style.css	(from https://validthemes.live/themeforest/essay/index.html)
16:47:12	90412/90412	---M--	200	added ('OK')	font/woff	date:Fri,%2014%20Oct%202016%2020:59:54%20GMT	https://validthemes.live/themeforest/essay/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/fonts/fontawesome-webfont3e6e.woff	(from https://validthemes.live/themeforest/essay/assets/css/plugins.min.css)
16:47:12	5320/5320	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2020:15:48%20GMT	https://validthemes.live/themeforest/essay/assets/img/logo-extra.png	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/logo-extra.png	(from https://validthemes.live/themeforest/essay/index.html)
16:47:13	391622/391622	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2014%20Oct%202016%2020:59:54%20GMT	https://validthemes.live/themeforest/essay/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/fonts/fontawesome-webfont3e6e.svg	(from https://validthemes.live/themeforest/essay/assets/css/plugins.min.css)
16:47:13	148809/148809	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2019:55:24%20GMT	https://validthemes.live/themeforest/essay/assets/img/demo/bg.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/demo/bg.jpg	(from https://validthemes.live/themeforest/essay/index.html)
16:47:14	36508/36508	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20May%202018%2005:30:02%20GMT	https://validthemes.live/themeforest/essay/assets/img/demo/banner.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/demo/banner.jpg	(from https://validthemes.live/themeforest/essay/index.html)
